# Reviewed expectations: Linux root NFSv3 adapter, not native FUSE conformance.
# First root review: 2026-09-20, pjdfstest 85a8aea9e685999ef0540392fd80535f873d7ff7.
# Review, source dependencies and isolated supported-kind check:
# docs/bugs/2026-09-20-pjdfstest-device-fixture-cascades.md
# A-26 authorizes FIFO/socket metadata; block/character devices remain refused.
# NFS-OPEN and NFS-TIME are client/wire limits, not shared VFS exclusions.
# This initializes the root review left pending in conformance.md section 3.4.
# One case per line; no file wildcard. Unlisted failures, listed passes and absent
# listed cases fail the gate. This list can only shrink after this review.
# The historical transport slug is native-linux-fuse; the record remains LIMITED.
# Device names are never substituted, and the upstream suite is never patched in CI.

tests/chmod/00.t:78  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:79  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:80  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:81  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:98  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:99  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:100  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:101  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:102  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:103  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:104  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/00.t:105  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/01.t:8  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/01.t:9  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/01.t:10  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/01.t:11  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/01.t:12  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/01.t:13  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:26  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:27  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:28  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:30  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:31  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:33  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:34  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:35  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:36  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:38  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:39  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:41  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:79  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:80  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:81  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:83  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:84  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:85  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:86  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:88  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:89  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:90  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:91  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:93  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:94  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:95  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:96  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chmod/11.t:98  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:50  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:51  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:52  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:53  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:54  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:56  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:57  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:58  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:61  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:62  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:63  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:64  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:65  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:66  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:67  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:68  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:69  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:70  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:72  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:73  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:74  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:77  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:78  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:79  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:80  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:81  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:192  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:193  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:194  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:195  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:196  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:197  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:198  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:200  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:201  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:202  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:204  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:205  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:206  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:208  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:209  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:210  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:213  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:214  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:215  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:216  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:217  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:218  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:219  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:220  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:221  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:222  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:223  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:224  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:225  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:226  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:227  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:228  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:230  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:231  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:232  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:234  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:235  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:236  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:238  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:239  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:240  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:243  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:244  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:245  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:246  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:247  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:248  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:249  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:250  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:251  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:329  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:330  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:331  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:333  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:334  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:337  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:338  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:339  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:340  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:341  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:342  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:343  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:344  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:346  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:347  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:350  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:351  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:352  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:353  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:354  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:483  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:484  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:485  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:486  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:487  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:488  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:489  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:490  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:491  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:492  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:494  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:495  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:496  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:497  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:498  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:499  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:500  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:501  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:502  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:503  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:504  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:505  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:506  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:508  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:509  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:510  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:511  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:512  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:513  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:514  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:515  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:516  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:517  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:518  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:519  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:520  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:521  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:522  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:523  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:524  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:525  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:526  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:527  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:528  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:529  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:531  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:532  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:533  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:534  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:535  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:536  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:537  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/chown/00.t:538  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
